,sold_price,address,sqarefootage,Type,Style,Community,List Price,bedNum,Bedrooms,bathNum,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,longitude,latitude,pageNum,iterationNum,weblink,Unnamed: 20,Dens
16,"2,300,000",99 Harbour Square,1800-1999,Condo Apt,Apartment,Waterfront Communities C1,2300000,2,2,2.0,2,1,7,2,Toronto C01,-79.379061,43.63926,80.0,62.0,https://www.zolo.ca/toronto-real-estate/99-harbour-square/3008,,0
17,"1,458,000",99 Elinor Avenue,2000-2500,Detached,2-Storey,Wexford-Maryvale,1499000,5,5,5.0,5,1,11,6,Toronto E04,-79.30319,43.75103,326.0,56.0,https://www.zolo.ca/toronto-real-estate/99-elinor-avenue,,0
18,"919,888",99 Cameron Street,1200-1399,Condo Apt,Apartment,Kensington-Chinatown,799000,2,2,2.0,2,1,5,1,Toronto C01,-79.39823100000001,43.650737,244.0,34.0,https://www.zolo.ca/toronto-real-estate/99-cameron-street/820,,1
19,"460,000",99 Broadway Avenue,0-499,Condo Apt,Apartment,Mount Pleasant West,469000,1,1,1.0,1,1,4,0,Toronto C10,-79.393323,43.710601,354.0,42.0,https://www.zolo.ca/toronto-real-estate/99-broadway-avenue/1201-nt,,0
20,"425,000",99 Blackwell Avenue,900-999,Condo Apt,Apartment,Malvern,399900,2,2,2.0,2,1,5,1,Toronto E11,-79.22023100000001,43.805387,189.0,48.0,https://www.zolo.ca/toronto-real-estate/99-blackwell-avenue/203,,0
21,"1,200,000",99 Avenue Road,1000-1199,Condo Apt,Apartment,Annex,1289000,1,1,2.0,2,1,6,1,Toronto C02,-79.395354,43.672558,137.0,30.0,https://www.zolo.ca/toronto-real-estate/99-avenue-road/902,,1
22,"2,371,000",98A Alcorn Avenue,2000-2500,Semi-Detached,3-Storey,Yonge-St. Clair,1949900,3,3,3.0,3,1,7,2,Toronto C02,,,,,,,1
23,"1,600,000",983 St Clarens Avenue,1500-2000,Detached,2-Storey,Corso Italia-Davenport,1249000,3,3,2.0,2,1,6,2,Toronto W03,-79.44789399999999,43.673076,159.0,36.0,https://www.zolo.ca/toronto-real-estate/983-st-clarens-avenue,,0
24,"721,000",980 Yonge Street,600-699,Condo Apt,Apartment,Annex,649000,1,1,1.0,1,1,5,1,Toronto C02,-79.389165,43.675289,96.0,56.0,https://www.zolo.ca/toronto-real-estate/980-yonge-street/806,,0
25,"899,000",980 Yonge Street,900-999,Condo Apt,Apartment,Annex,899000,1,1,1.0,1,1,6,1,Toronto C02,-79.389165,43.675289,52.0,66.0,https://www.zolo.ca/toronto-real-estate/980-yonge-street/716,,0
26,"725,000",98 Lillian Street,600-699,Condo Apt,Apartment,Mount Pleasant East,598900,1,1,2.0,2,1,5,1,Toronto C10,-79.411793,43.799693,392.0,54.0,https://www.zolo.ca/toronto-real-estate/98-lillian-street/201,,1
27,"840,000",98 Lillian Street,800-899,Condo Apt,Apartment,Mount Pleasant East,849900,2,2,2.0,2,1,5,1,Toronto C10,-79.411793,43.799693,367.0,60.0,https://www.zolo.ca/toronto-real-estate/98-lillian-street/1312,,0
28,"920,000",98 Lillian Street,900-999,Condo Apt,Apartment,Mount Pleasant East,899000,2,2,2.0,2,1,6,1,Toronto C10,-79.411793,43.799693,369.0,24.0,https://www.zolo.ca/toronto-real-estate/98-lillian-street/1320,,1
29,"760,000",98 Carr Street,900-999,Condo Townhouse,Stacked Townhse,Kensington-Chinatown,749000,2,2,2.0,2,1,6,1,Toronto C01,-79.40452900000001,43.649408,229.0,58.0,https://www.zolo.ca/toronto-real-estate/98-carr-street/11,,0
30,"2,000,000",98 Balmoral Avenue,1500-2000,Semi-Detached,3-Storey,Yonge-St. Clair,2199000,4,4,2.0,2,1,8,1,Toronto C02,-79.39785,43.684994,228.0,60.0,https://www.zolo.ca/toronto-real-estate/98-balmoral-avenue,,0
31,"1,150,000",97 Kimberley Avenue,1100-1500,Semi-Detached,2-Storey,The Beaches,898000,3,3,2.0,2,1,6,0,Toronto E02,-79.29854,43.684062,401.0,30.0,https://www.zolo.ca/toronto-real-estate/97-kimberley-avenue,,0
32,"1,800,000",97 Gladstone Avenue,2000-2500,Detached,2 1/2 Storey,Little Portugal,1698000,5,5,3.0,3,2,10,2,Toronto C01,-79.428016,43.645553,125.0,58.0,https://www.zolo.ca/toronto-real-estate/97-gladstone-avenue,,1
33,"675,000",97 Burrows Hall Boulevard,1400-1599,Condo Townhouse,2-Storey,Malvern,684000,3,3,2.0,2,1,8,1,Toronto E11,-79.23219499999999,43.791738,293.0,66.0,https://www.zolo.ca/toronto-real-estate/97-burrows-hall-boulevard/5,,1
34,"1,210,000",96 St Patrick Street,1000-1199,Condo Apt,2-Storey,Kensington-Chinatown,1098000,2,2,3.0,3,1,6,2,Toronto C01,-79.389812,43.652874,18.0,46.0,https://www.zolo.ca/toronto-real-estate/96-st-patrick-street/ph14,,1
35,"925,000",96 Fifeshire Road,1400-1599,Condo Apt,Apartment,St. Andrew-Windfields,949900,2,2,2.0,2,1,5,1,Toronto C12,-79.387302,43.761017,222.0,38.0,https://www.zolo.ca/toronto-real-estate/96-fifeshire-road/204,,0
36,"1,160,000",96 Burnt Bark Drive,2000-2500,Detached,2-Storey,Steeles,1208800,4,4,4.0,4,1,9,5,Toronto E05,-79.313574,43.815538,229.0,60.0,https://www.zolo.ca/toronto-real-estate/96-burnt-bark-drive,,1
37,"903,000",955 Queen Street W,700-799,Condo Apt,Loft,Niagara,919000,1,1,2.0,2,1,5,1,Toronto C01,-79.414323,43.644964,199.0,66.0,https://www.zolo.ca/toronto-real-estate/955-queen-street-west/403,,1
38,"565,000",955 O'connor Drive,1000-1199,Condo Apt,Apartment,O'Connor-Parkview,589900,2,2,2.0,2,1,6,1,Toronto E03,-79.31058,43.708163,146.0,60.0,https://www.zolo.ca/toronto-real-estate/955-oconnor-drive/309,,1
39,"820,000",955 O'connor Drive,1600-1799,Condo Apt,Apartment,O'Connor-Parkview,829900,3,3,3.0,3,1,8,1,Toronto E03,-79.31058,43.708163,302.0,48.0,https://www.zolo.ca/toronto-real-estate/955-oconnor-drive/ph2,,1
40,"460,000",955 Bay Street N,0-499,Condo Apt,Bachelor/Studio,Bay Street Corridor,450000,,0,1.0,1,1,1,0,Toronto C01,-79.387125,43.664556,199.0,28.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/626,,0
41,"492,000",955 Bay Street,0-499,Condo Apt,Apartment,Bay Street Corridor,535000,,0,1.0,1,1,3,0,Toronto C01,-79.387125,43.664556,101.0,38.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/1311,,0
42,"533,000",955 Bay Street,0-499,Condo Apt,Apartment,Bay Street Corridor,549900,,0,1.0,1,1,3,0,Toronto C01,-79.387125,43.664556,81.0,42.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/2211,,0
43,"600,000",955 Bay Street,0-499,Condo Apt,Apartment,Bay Street Corridor,569900,1,1,1.0,1,1,1,0,Toronto C01,-79.387125,43.664556,49.0,56.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/1202,,0
44,"613,000",955 Bay Street,0-499,Condo Apt,Apartment,Bay Street Corridor,630000,1,1,1.0,1,1,3,0,Toronto C01,-79.387125,43.664556,254.0,32.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/2302,,0
45,"615,000",955 Bay Street,0-499,Condo Apt,Apartment,Bay Street Corridor,630000,1,1,1.0,1,1,3,0,Toronto C01,-79.387125,43.664556,113.0,46.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/2502,,0
46,"632,000",955 Bay Street,600-699,Condo Apt,Apartment,Bay Street Corridor,668800,1,1,1.0,1,1,4,0,Toronto C01,-79.387125,43.664556,50.0,46.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/326,,1
47,"645,000",955 Bay Street,0-499,Condo Apt,Apartment,Bay Street Corridor,649990,1,1,1.0,1,1,3,0,Toronto C01,-79.387125,43.664556,131.0,36.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/1908,,0
48,"665,000",955 Bay Street,500-599,Condo Apt,Apartment,Bay Street Corridor,668900,1,1,1.0,1,1,3,0,Toronto C01,-79.387125,43.664556,124.0,32.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/709,,1
49,"758,000",955 Bay Street,600-699,Condo Apt,Apartment,Bay Street Corridor,750000,1,1,1.0,1,1,4,1,Toronto C01,-79.387125,43.664556,370.0,62.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/818,,1
50,"958,000",955 Bay Street,800-899,Condo Apt,Apartment,Bay Street Corridor,998000,3,3,2.0,2,1,7,1,Toronto C01,-79.387125,43.664556,405.0,46.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/2013,,0
51,"1,400,000",955 Bay Street,1000-1199,Condo Apt,Apartment,Bay Street Corridor,1450000,3,3,3.0,3,1,9,1,Toronto C01,-79.387125,43.664556,52.0,56.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/3509,,0
52,"1,400,000",955 Bay Street,1000-1199,Condo Apt,Apartment,Bay Street Corridor,1450000,2,2,2.0,2,1,6,1,Toronto C01,-79.387125,43.664556,261.0,56.0,https://www.zolo.ca/toronto-real-estate/955-bay-street/3203,,0
53,"632,000",9544 Sheppard Avenue E,1000-1199,Condo Townhouse,3-Storey,Rouge E11,588000,3,3,2.0,2,1,6,1,Toronto E11,,,,,,,0
54,"710,500",954 King Street W,700-799,Condo Apt,Loft,Niagara,699900,1,1,2.0,2,1,4,1,Toronto C01,-79.413466,43.641895,359.0,34.0,https://www.zolo.ca/toronto-real-estate/954-king-street-west/522,,1
55,"855,000",954 King Street W,800-899,Condo Apt,Loft,Niagara,699900,2,2,2.0,2,1,5,1,Toronto C01,-79.413466,43.641895,88.0,64.0,https://www.zolo.ca/toronto-real-estate/954-king-street-west/ph06,,0
56,"1,302,500",954 King Street,1000-1199,Condo Apt,Loft,Niagara,999999,2,2,2.0,2,1,6,1,Toronto C01,-79.520177,43.701923,24.0,48.0,https://www.zolo.ca/toronto-real-estate/954-king-street/101,,0
57,"1,825,000",95 Summerhill Avenue,2500-2749,Condo Townhouse,3-Storey,Rosedale-Moore Park,1825000,3,3,3.0,3,1,7,1,Toronto C09,-79.388049,43.683834,107.0,62.0,https://www.zolo.ca/toronto-real-estate/95-summerhill-avenue/th8,,1
58,"811,000",95 Prince Arthur Avenue,700-799,Condo Apt,Apartment,Annex,789900,1,1,2.0,2,1,5,1,Toronto C02,-79.401299,43.668279,178.0,42.0,https://www.zolo.ca/toronto-real-estate/95-prince-arthur-avenue/705,,1
59,"888,889",95 Pale Moon Crescent,1500-2000,Detached,2-Storey,Steeles,828000,3,3,2.0,2,1,7,2,Toronto E05,-79.320523,43.811128,190.0,46.0,https://www.zolo.ca/toronto-real-estate/95-pale-moon-crescent,,0
60,"1,251,500",95 Merkley Square,2000-2500,Detached,2-Storey,Morningside,999000,4,4,4.0,4,1,8,6,Toronto E09,-79.213628,43.774141,247.0,62.0,https://www.zolo.ca/toronto-real-estate/95-merkley-square,,1
61,"650,000",95 Lombard Street,700-799,Condo Apt,Apartment,Church-Yonge Corridor,650000,1,1,1.0,1,1,4,1,Toronto C08,-79.373232,43.652137,190.0,40.0,https://www.zolo.ca/toronto-real-estate/95-lombard-street/904,,1
62,"555,000",95 La Rose Avenue,1000-1199,Condo Apt,Apartment,Humber Heights,599900,2,2,2.0,2,1,6,1,Toronto W09,-79.519348,43.685441,208.0,22.0,https://www.zolo.ca/toronto-real-estate/95-la-rose-avenue/1403,,0
63,"595,000",95 La Rose Avenue,1200-1399,Condo Apt,Apartment,Humber Heights,599000,2,2,2.0,2,1,6,1,Toronto W09,-79.519348,43.685441,315.0,54.0,https://www.zolo.ca/toronto-real-estate/95-la-rose-avenue/503,,0
64,"620,000",95 La Rose Avenue,1000-1199,Condo Apt,Apartment,Humber Heights,638000,2,2,2.0,2,1,5,1,Toronto W09,-79.519348,43.685441,150.0,58.0,https://www.zolo.ca/toronto-real-estate/95-la-rose-avenue/402,,0
65,"910,000",95 Jolly Way,1500-2000,Att/Row/Twnhouse,3-Storey,Dorset Park,899000,4,4,3.0,3,1,9,1,Toronto E04,-79.278642,43.766001,7.0,52.0,https://www.zolo.ca/toronto-real-estate/95-jolly-way,,0
66,"1,100,000",95 Hollis Avenue,700-1100,Detached,Bungalow,Birchcliffe-Cliffside,889900,2,2,2.0,2,1,5,3,Toronto E06,-79.26629100000001,43.694221,311.0,68.0,https://www.zolo.ca/toronto-real-estate/95-hollis-avenue,,2
67,"880,000",95 Eastwood Park Gardens,1200-1399,Condo Townhouse,3-Storey,Long Branch,899999,2,2,3.0,3,1,7,1,Toronto W06,-79.535172,43.594662,367.0,36.0,https://www.zolo.ca/toronto-real-estate/95-eastwood-park-gardens/19,,0
68,"505,000",95 Bathurst Street,0-499,Condo Apt,Apartment,Niagara,509000,1,1,1.0,1,1,4,0,Toronto C01,-79.402443,43.644524,366.0,60.0,https://www.zolo.ca/toronto-real-estate/95-bathurst-street/913,,0
69,"645,000",95 Bathurst Street,600-699,Condo Apt,Apartment,Waterfront Communities C1,649900,1,1,1.0,1,1,6,0,Toronto C01,-79.402443,43.644524,149.0,52.0,https://www.zolo.ca/toronto-real-estate/95-bathurst-street/321,,1
70,"725,000",95 Bathurst Street,600-699,Condo Apt,Loft,Waterfront Communities C1,699900,1,1,1.0,1,1,3,0,Toronto C01,-79.402443,43.644524,321.0,54.0,https://www.zolo.ca/toronto-real-estate/95-bathurst-street/1407,,0
71,"880,000",95 Bathurst Street,900-999,Condo Apt,Apartment,Waterfront Communities C1,849000,1,1,1.0,1,1,4,1,Toronto C01,-79.402443,43.644524,49.0,40.0,https://www.zolo.ca/toronto-real-estate/95-bathurst-street/522,,0
72,"770,000",94B Beverley Street,1000-1199,Condo Townhouse,Loft,Kensington-Chinatown,779000,2,2,1.0,1,1,5,0,Toronto C01,,,,,,,0
73,"650,000",9482 Sheppard Avenue E,1200-1399,Condo Townhouse,3-Storey,Rouge E11,650000,2,2,3.0,3,1,6,1,Toronto E11,-79.173383,43.808042,265.0,34.0,https://www.zolo.ca/toronto-real-estate/9842-sheppard-avenue-east/73,,1
74,"607,000",942 Yonge Street,600-699,Condo Apt,Apartment,Annex,629900,1,1,1.0,1,1,5,1,Toronto C02,-79.38900699999999,43.674654,6.0,50.0,https://www.zolo.ca/toronto-real-estate/942-yonge-street/806,,1
75,"645,000",942 Yonge Street,700-799,Condo Apt,Apartment,Annex,689900,1,1,1.0,1,1,4,1,Toronto C02,-79.38900699999999,43.674654,265.0,68.0,https://www.zolo.ca/toronto-real-estate/942-yonge-street/611,,0
76,"660,000",942 Yonge Street,600-699,Condo Apt,Apartment,Annex,679000,1,1,1.0,1,1,4,1,Toronto C02,-79.38900699999999,43.674654,73.0,42.0,https://www.zolo.ca/toronto-real-estate/942-yonge-street/815,,1
77,"317,000",940 Caledonia Road,700-799,Condo Apt,Multi-Level,Yorkdale-Glen Park,319900,2,2,1.0,1,1,5,1,Toronto W04,-79.46549,43.706438,360.0,68.0,https://www.zolo.ca/toronto-real-estate/940-caledonia-road/1112,,0
78,"368,000",940 Caledonia Road,800-899,Condo Apt,Apartment,Yorkdale-Glen Park,379000,3,3,1.0,1,1,5,1,Toronto W04,-79.46549,43.706438,81.0,32.0,https://www.zolo.ca/toronto-real-estate/940-caledonia-road/207,,0
79,"1,918,000",94 Glenaden Avenue E,2500-3000,Detached,Bungalow,Stonegate-Queensway,1699000,3,3,3.0,3,1,6,4,Toronto W07,,,,,,,1
80,"1,025,000",94 Boultbee Avenue,700-1100,Semi-Detached,Bungalow,Blake-Jones,799000,2,2,2.0,2,1,5,0,Toronto E01,-79.335223,43.673699,28.0,66.0,https://www.zolo.ca/toronto-real-estate/94-boultbee-avenue,,1
81,"1,136,000",939 Mount Pleasant Road,1500-2000,Semi-Detached,2-Storey,Mount Pleasant East,1169000,3,3,2.0,2,2,6,2,Toronto C10,-79.391416,43.712147,397.0,54.0,https://www.zolo.ca/toronto-real-estate/939-mount-pleasant-road,,0
82,"545,000",935 Sheppard Avenue W,700-799,Condo Apt,Apartment,Clanton Park,549000,2,2,1.0,1,1,5,1,Toronto C06,-79.45861,43.751127,235.0,52.0,https://www.zolo.ca/toronto-real-estate/935-sheppard-avenue-west/307,,0
83,"648,000",935 Sheppard Avenue W,800-899,Condo Apt,Apartment,Clanton Park,549900,2,2,2.0,2,1,5,1,Toronto C06,-79.45861,43.751127,206.0,56.0,https://www.zolo.ca/toronto-real-estate/935-sheppard-avenue-west/403,,0
84,"640,000",93 The Queensway,700-799,Condo Townhouse,2-Storey,High Park-Swansea,649900,1,1,2.0,2,1,5,1,Toronto W01,-79.469358,43.637096,377.0,38.0,https://www.zolo.ca/toronto-real-estate/93-the-queensway/51,,1
85,"806,000",93 Seventeenth Street,< 700,Detached,Bungaloft,New Toronto,715000,2,2,2.0,2,1,3,3,Toronto W06,-79.517524,43.602358,58.0,42.0,https://www.zolo.ca/toronto-real-estate/93-seventeenth-street,,1
86,"800,000",93 Rameau Drive,1400-1599,Condo Townhouse,Multi-Level,Hillcrest Village,850000,3,3,2.0,2,1,6,2,Toronto C15,-79.35939,43.793253,216.0,28.0,https://www.zolo.ca/toronto-real-estate/93-rameau-drive/1,,0
87,"1,809,300",93 Prince George Drive,1500-2000,Detached,Bungalow,Princess-Rosethorn,1475000,3,3,3.0,3,1,6,6,Toronto W08,-79.548326,43.666834,76.0,36.0,https://www.zolo.ca/toronto-real-estate/93-prince-george-drive,,2
88,"855,000",93 Parrotta Drive,1500-2000,Att/Row/Twnhouse,3-Storey,Humberlea-Pelmo Park W5,799000,3,3,3.0,3,1,7,1,Toronto W05,-79.53465600000001,43.733692,132.0,66.0,https://www.zolo.ca/toronto-real-estate/93-parrotta-drive,,1
89,"4,250,000",93 Glengowan Road,3500-5000,Detached,2 1/2 Storey,Lawrence Park South,4595000,5,5,5.0,5,1,11,7,Toronto C04,-79.389845,43.721226,408.0,34.0,https://www.zolo.ca/toronto-real-estate/93-glengowan-road,,0
90,"1,925,000",93 Boardwalk Drive,2000-2500,Semi-Detached,3-Storey,The Beaches,1749000,3,3,4.0,4,1,7,2,Toronto E02,-79.306108,43.665495,242.0,54.0,https://www.zolo.ca/toronto-real-estate/93-boardwalk-drive,,1
91,"440,000",921 Midland Avenue,900-999,Condo Apt,Apartment,Eglinton East,444900,2,2,1.0,1,1,5,1,Toronto E08,-79.257931,43.73596,100.0,41.0,https://www.zolo.ca/toronto-real-estate/921-midland-avenue/410,,0
92,"560,000",920 Sheppard Avenue W,700-799,Condo Apt,Apartment,Bathurst Manor,529000,2,2,1.0,1,1,5,1,Toronto C06,-79.458095,43.751509,176.0,54.0,https://www.zolo.ca/toronto-real-estate/920-sheppard-avenue-west/201,,0
93,"1,651,927",92 Smithwood Drive,2000-2500,Detached,Bungalow,Islington-City Centre West,1699900,3,3,4.0,4,1,7,6,Toronto W08,-79.55103199999999,43.639655,77.0,58.0,https://www.zolo.ca/toronto-real-estate/92-smithwood-drive,,2
94,"1,399,000",92 Sheridan Avenue,2000-2500,Detached,2-Storey,Little Portugal,1399000,3,3,3.0,3,2,7,2,Toronto C01,-79.433266,43.648381,26.0,30.0,https://www.zolo.ca/toronto-real-estate/92-sheridan-avenue,,0
95,"1,705,000",92 Pettit Drive,2000-2500,Detached,Backsplit 4,Willowridge-Martingrove-Richview,1498888,4,4,3.0,3,1,7,6,Toronto W09,-79.546549,43.681976,176.0,64.0,https://www.zolo.ca/toronto-real-estate/92-pettit-drive,,0
96,"1,060,000",92 Meldazy Drive,1100-1500,Detached,Bungalow,Bendale,899900,3,3,2.0,2,1,6,3,Toronto E09,-79.25089399999999,43.763051,79.0,26.0,https://www.zolo.ca/toronto-real-estate/92-meldazy-drive,,1
97,"622,000",92 King Street E,600-699,Condo Apt,Apartment,Church-Yonge Corridor,635000,1,1,1.0,1,1,5,0,Toronto C08,-79.375132,43.649874,138.0,40.0,https://www.zolo.ca/toronto-real-estate/92-king-street-east/716,,1
98,"686,000",92 King Street E,900-999,Condo Apt,Apartment,Church-Yonge Corridor,699000,2,2,2.0,2,1,5,0,Toronto C08,-79.375132,43.649874,16.0,68.0,https://www.zolo.ca/toronto-real-estate/92-king-street-east/613,,1
99,"7,150,000",92 Highland Crescent,5000,Detached,2-Storey,Bridle Path-Sunnybrook-York Mills,7480000,4,4,8.0,8,1,10,7,Toronto C12,-79.390151,43.743789,220.0,26.0,https://www.zolo.ca/toronto-real-estate/92-highland-crescent,,1
100,"375,000",915 Midland Avenue,500-599,Condo Apt,Apartment,Eglinton East,325000,1,1,1.0,1,1,4,1,Toronto E08,-79.257787,43.735622,160.0,36.0,https://www.zolo.ca/toronto-real-estate/915-midland-avenue/602,,0
101,"417,500",915 Midland Avenue,900-999,Condo Apt,Apartment,Eglinton East,399900,2,2,1.0,1,1,5,1,Toronto E08,-79.257787,43.735622,137.0,28.0,https://www.zolo.ca/toronto-real-estate/915-midland-avenue/614,,0
102,"635,000",915 King Street W,600-699,Condo Apt,Loft,Niagara,649900,1,1,1.0,1,1,5,0,Toronto C01,-79.412763,43.641605,324.0,46.0,https://www.zolo.ca/toronto-real-estate/915-king-street-west/102,,1
103,"422,000",914 Yonge Street,0-499,Condo Apt,Apartment,Annex,379900,,0,1.0,1,1,4,0,Toronto C02,-79.38884,43.674053,307.0,50.0,https://www.zolo.ca/toronto-real-estate/914-yonge-street/1204,,0
104,"895,000",91 Parrotta Drive,1500-2000,Att/Row/Twnhouse,3-Storey,Humberlea-Pelmo Park W5,799900,3,3,4.0,4,1,8,2,Toronto W05,-79.534722,43.733677,152.0,32.0,https://www.zolo.ca/toronto-real-estate/91-parrotta-drive,,1
105,"545,000",91 Muir Drive,1200-1399,Condo Townhouse,Stacked Townhse,Scarborough Village,489900,3,3,2.0,2,1,6,1,Toronto E08,-79.21149399999999,43.743144,286.0,44.0,https://www.zolo.ca/toronto-real-estate/91-muir-drive/61,,0
106,"560,000",91 Muir Drive,1200-1399,Condo Townhouse,2-Storey,Scarborough Village,499000,3,3,2.0,2,1,8,1,Toronto E08,-79.21149399999999,43.743144,290.0,62.0,https://www.zolo.ca/toronto-real-estate/91-muir-drive/12,,0
107,"1,650,000",91 Goswell Road,1500-2000,Detached,Bungalow,Islington-City Centre West,1400000,3,3,3.0,3,1,7,6,Toronto W08,-79.547257,43.646811,240.0,48.0,https://www.zolo.ca/toronto-real-estate/91-goswell-road,,1
108,"1,625,000",91 Courcelette Road,1100-1500,Detached,2-Storey,Birchcliffe-Cliffside,1199000,3,3,2.0,2,1,7,2,Toronto E06,-79.278678,43.678295,133.0,36.0,https://www.zolo.ca/toronto-real-estate/91-courcelette-road,,0
109,"538,898",909 Bay Street,500-599,Condo Apt,Apartment,Bay Street Corridor,559000,,0,1.0,1,1,4,1,Toronto C01,-79.386612,43.664178,277.0,50.0,https://www.zolo.ca/toronto-real-estate/909-bay-street/1104,,0
110,"678,000",909 Bay Street,700-799,Condo Apt,Apartment,Bay Street Corridor,699000,1,1,1.0,1,1,5,1,Toronto C01,-79.386612,43.664178,359.0,62.0,https://www.zolo.ca/toronto-real-estate/909-bay-street/502,,1
111,"730,888",909 Bay Street,500-599,Condo Apt,Apartment,Bay Street Corridor,609900,1,1,1.0,1,1,4,1,Toronto C01,-79.386612,43.664178,257.0,22.0,https://www.zolo.ca/toronto-real-estate/909-bay-street/2505,,0
112,"810,000",901 Queen Street W,600-699,Condo Apt,Loft,Trinity-Bellwoods,649000,1,1,1.0,1,1,4,1,Toronto C01,-79.41193299999999,43.645223,280.0,28.0,https://www.zolo.ca/toronto-real-estate/901-queen-street-west/405,,0
