sold_price,address,mean_sqarefootage,Type,renamedType,Style,Community,List Price,Bedrooms,Dens,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,longitude,latitude,weblink,squarefootage
335000,320 Dixon Road,1100,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,339000,2,0,1,1,6,1,W09,-79.552502,43.696811,https://www.zolo.ca/toronto-real-estate/320-dixon-road/303,1000-1199
340000,320 Dixon Road,1100,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,339000,2,0,1,1,6,1,W09,-79.552502,43.696811,https://www.zolo.ca/toronto-real-estate/320-dixon-road/2201,1000-1199
336000,100 Lotherton Pathway,750,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,340000,2,1,1,1,5,1,W04,-79.467492,43.705604,https://www.zolo.ca/toronto-real-estate/100-lotherton-pathway/510,700-799
345000,2874 Keele Street,250,Condo Apt,Condo Apartment,Apartment,Downsview-Roding-CFB,340000,1,0,1,1,2,1,W05,-79.483761,43.733053,https://www.zolo.ca/toronto-real-estate/2874-keele-street/201,0-499
355000,85 Emmett Avenue,950,Condo Apt,Condo Apartment,Apartment,Mount Dennis,340000,1,1,1,1,5,1,W04,-79.505978,43.686974,https://www.zolo.ca/toronto-real-estate/85-emmett-avenue/2005,900-999
350000,50 Lotherton Pathway,750,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,345000,2,0,1,1,5,1,W04,-79.467418,43.705563,https://www.zolo.ca/toronto-real-estate/50-lotherton-pathway/1210,700-799
375000,207 Galloway Road,950,Condo Apt,Condo Apartment,Apartment,West Hill,348500,2,0,1,1,5,1,E10,-79.196163,43.766708,https://www.zolo.ca/toronto-real-estate/207-galloway-road/304,900-999
338000,200 Lotherton Pathway,750,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,348900,2,0,1,1,5,1,W04,-79.465795,43.707282,https://www.zolo.ca/toronto-real-estate/200-lotherton-pathway/506,700-799
377500,36 Lisgar Street,250,Condo Apt,Condo Apartment,Apartment,Little Portugal,349000,1,0,1,1,4,0,C01,-79.423654,43.641978,https://www.zolo.ca/toronto-real-estate/36-lisgar-street/626,0-499
400000,800 Lawrence Avenue W,250,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,349000,0,0,1,1,3,0,W04,-79.453194,43.714641,https://www.zolo.ca/toronto-real-estate/800-lawrence-avenue-west/316,0-499
400000,36 Lisgar Street,250,Condo Apt,Condo Apartment,Apartment,Little Portugal,349000,1,0,1,1,3,0,C01,-79.423654,43.641978,https://www.zolo.ca/toronto-real-estate/36-lisgar-street/526e,0-499
335000,50 Lotherton Pathway,750,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,349900,3,0,1,1,6,1,W04,-79.467418,43.705563,https://www.zolo.ca/toronto-real-estate/50-lotherton-pathway/506,700-799
340000,10 Tapscott Road,750,Condo Apt,Condo Apartment,Apartment,Malvern,349900,1,0,1,1,3,1,E11,-79.219085,43.805937,https://www.zolo.ca/toronto-real-estate/10-tapscott-road/502,700-799
345000,40 Panorama Court,1100,Comm Element Condo,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,349900,2,0,1,1,5,1,W10,-79.579718,43.747724,https://www.zolo.ca/toronto-real-estate/40-panorama-court/509,1000-1199
347000,785 Brown's Line,850,Co-Op Apt,Co-op / Co-Ownership Apartment,Apartment,Alderwood,349900,2,0,1,1,5,1,W06,-79.547565,43.608721,https://www.zolo.ca/toronto-real-estate/785-browns-line/508,800-899
347000,40 Panorama Court,1100,Condo Apt,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,349900,2,0,1,1,6,2,W10,-79.579718,43.747724,https://www.zolo.ca/toronto-real-estate/40-panorama-court/709,1000-1199
356000,340 Dixon Road,950,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,349900,2,0,1,1,5,1,W09,-79.554118,43.696063,https://www.zolo.ca/toronto-real-estate/340-dixon-road/201,900-999
365000,3390 Weston Road,850,Condo Apt,Condo Apartment,Apartment,Humbermede,349900,2,0,1,1,5,1,W05,-79.542764,43.749102,https://www.zolo.ca/toronto-real-estate/3390-weston-road/907,800-899
372000,380 Dixon Road,750,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,349900,1,1,1,1,6,1,W09,-79.556727,43.695162,https://www.zolo.ca/toronto-real-estate/380-dixon-road/2403,700-799
326000,50 Lotherton Pathway,850,Comm Element Condo,Condo Apartment,Apartment,Yorkdale-Glen Park,349999,3,1,1,1,6,1,W04,-79.467418,43.705563,https://www.zolo.ca/toronto-real-estate/50-lotherton-pathway/802,800-899
348000,2737 Keele Street,650,Condo Apt,Condo Apartment,Apartment,Downsview-Roding-CFB,349999,1,0,1,1,3,1,W05,-79.481416,43.725043,https://www.zolo.ca/toronto-real-estate/2737-keele-street/218,600-699
355000,50 Town Centre Court,250,Condo Apt,Condo Apartment,Bachelor/Studio,Bendale,350000,0,0,1,1,3,0,E09,-79.255268,43.773256,https://www.zolo.ca/toronto-real-estate/50-town-centre-court/3307,0-499
377000,1350 York Mills Road,650,Condo Apt,Condo Apartment,Apartment,Parkwoods-Donalda,351900,1,0,1,1,1,1,C13,-79.31924,43.763203,https://www.zolo.ca/toronto-real-estate/1350-york-mills-road/308,600-699
350000,235 Grandravine Drive,850,Co-Ownership Apt,Co-op / Co-Ownership Apartment,Apartment,Glenfield-Jane Heights,354900,2,0,1,1,6,1,W05,-79.507038,43.748379,https://www.zolo.ca/toronto-real-estate/235-grandravine-drive/1204,800-899
352000,340 Dixon Road,1100,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,354900,2,0,1,1,5,1,W09,-79.554118,43.696063,https://www.zolo.ca/toronto-real-estate/340-dixon-road/1105,1000-1199
345000,235 Grandravine Drive,1100,Co-Ownership Apt,Co-op / Co-Ownership Apartment,Apartment,Glenfield-Jane Heights,359000,2,0,1,1,6,1,W05,-79.507038,43.748379,https://www.zolo.ca/toronto-real-estate/235-grandravine-drive/811,1000-1199
360000,50 Lotherton Pathway S,650,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,360000,2,0,1,1,5,1,W04,,,,600-699
415000,2500 Bridletowne Circle,750,Condo Apt,Condo Apartment,Apartment,L'Amoreaux,360000,1,1,1,1,5,1,E05,-79.317808,43.801305,https://www.zolo.ca/toronto-real-estate/2500-bridletowne-circle/108,700-799
360000,236 Albion Road,950,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,365000,2,0,1,1,5,1,W10,-79.543994,43.722001,https://www.zolo.ca/toronto-real-estate/236-albion-road/912,900-999
425105,15 Torrance Road,850,Condo Apt,Condo Apartment,Apartment,Eglinton East,368000,1,1,1,1,4,1,E08,-79.234805,43.740723,https://www.zolo.ca/toronto-real-estate/15-torrance-road/504,800-899
340000,3621 Lake Shore Boulevard W,550,Co-Op Apt,Co-op / Co-Ownership Apartment,Apartment,Long Branch,369000,1,0,1,1,4,1,W06,-79.535968,43.593595,https://www.zolo.ca/toronto-real-estate/3621-lake-shore-boulevard-west/103,500-599
365000,200 Lotherton Path,850,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,369000,3,0,1,1,6,1,W04,-79.4163,43.70011,https://www.zolo.ca/toronto-real-estate/200-lotherton-path/114,800-899
371000,390 Dixon Road,950,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,369000,2,0,1,1,6,1,W09,-79.557781,43.695333,https://www.zolo.ca/toronto-real-estate/390-dixon-road/603,900-999
418000,123 Woodbine Avenue,250,Condo Apt,Condo Apartment,Apartment,The Beaches,369000,0,0,1,1,3,1,E02,-79.305064,43.667515,https://www.zolo.ca/toronto-real-estate/123-woodbine-avenue/107,0-499
445000,58 Marine Parade Drive,250,Condo Apt,Condo Apartment,Apartment,Mimico,369888,0,0,1,1,2,1,W06,-79.476928,43.627157,https://www.zolo.ca/toronto-real-estate/58-marine-parade-drive/327,0-499
355000,234 Albion Road,1100,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,369900,2,1,1,1,6,1,W10,-79.544159,43.721149,https://www.zolo.ca/toronto-real-estate/234-albion-road/1406,1000-1199
365000,100 Lotherton Path,1100,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,369900,3,0,1,1,6,1,W04,-79.4163,43.70011,https://www.zolo.ca/toronto-real-estate/100-lotherton-path/315,1000-1199
369000,5 Massey Square,750,Condo Apt,Condo Apartment,Apartment,Crescent Town,369900,1,0,1,1,4,1,E03,-79.292923,43.696136,https://www.zolo.ca/toronto-real-estate/5-massey-square/2801,700-799
380000,1 Massey Square,750,Comm Element Condo,Condo Apartment,Apartment,Crescent Town,369900,1,0,1,1,5,1,E03,-79.294161,43.696417,https://www.zolo.ca/toronto-real-estate/1-massey-square/1718,700-799
360000,5580 Sheppard Avenue E,650,Condo Apt,Condo Apartment,Apartment,Malvern,370000,1,0,1,1,4,1,E11,-79.23731,43.7946,https://www.zolo.ca/toronto-real-estate/5580-sheppard-avenue-east/502,600-699
362800,234 Albion Road,850,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,370000,2,0,1,1,5,1,W10,-79.544159,43.721149,https://www.zolo.ca/toronto-real-estate/234-albion-road/607,800-899
469888,40 Bay Mills Boulevard,750,Condo Apt,Condo Apartment,Apartment,Tam O'Shanter-Sullivan,370000,1,1,1,1,5,1,E05,-79.305274,43.780576,https://www.zolo.ca/toronto-real-estate/40-bay-mills-boulevard/210,700-799
373000,5 Massey Square,750,Condo Apt,Condo Apartment,Apartment,Crescent Town,373000,1,0,1,1,4,0,E03,-79.292923,43.696136,https://www.zolo.ca/toronto-real-estate/5-massey-square/ph2,700-799
365000,5 Massey Square,750,Condo Apt,Condo Apartment,Apartment,Crescent Town,374900,1,0,1,1,4,1,E03,-79.292923,43.696136,https://www.zolo.ca/toronto-real-estate/5-massey-square/706,700-799
368600,3390 Weston Road,850,Condo Apt,Condo Apartment,Apartment,Humbermede,374900,2,0,1,1,5,1,W05,-79.542764,43.749102,https://www.zolo.ca/toronto-real-estate/3390-weston-road/1107,800-899
370500,236 Albion Road,850,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,374900,2,0,1,1,5,1,W10,-79.543994,43.722001,https://www.zolo.ca/toronto-real-estate/236-albion-road/1407,800-899
385000,1600 Keele Street,250,Condo Apt,Condo Apartment,Apartment,Keelesdale-Eglinton West,375000,0,0,1,1,4,1,W03,-79.471659,43.681593,https://www.zolo.ca/toronto-real-estate/1600-keele-street/920,0-499
397500,200 Mclevin Avenue,750,Condo Apt,Condo Apartment,Stacked Townhouse,Malvern,375000,1,0,1,1,3,1,E11,-79.230541,43.803591,https://www.zolo.ca/toronto-real-estate/200-mclevin-avenue/5,700-799
410000,330 Mccowan Road,550,Condo Apt,Condo Apartment,Apartment,Eglinton East,375000,1,1,1,1,4,1,E08,-79.238432,43.737576,https://www.zolo.ca/toronto-real-estate/330-mccowan-road/208,500-599
375000,1 Massey Square,750,Condo Apt,Condo Apartment,Apartment,Crescent Town,375500,1,0,1,1,4,1,E03,-79.294161,43.696417,https://www.zolo.ca/toronto-real-estate/1-massey-square/2818,700-799
368000,940 Caledonia Road,850,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,379000,3,0,1,1,5,1,W04,-79.46549,43.706438,https://www.zolo.ca/toronto-real-estate/940-caledonia-road/207,800-899
386000,5 Massey Square,750,Comm Element Condo,Condo Apartment,Apartment,Crescent Town,379000,1,0,1,1,4,1,E03,-79.292923,43.696136,https://www.zolo.ca/toronto-real-estate/5-massey-square/803,700-799
390000,236 Albion Road,850,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,379000,2,0,1,1,5,1,W10,-79.543994,43.722001,https://www.zolo.ca/toronto-real-estate/236-albion-road/2009,800-899
400000,15 Sewells Road,850,Condo Apt,Condo Apartment,Apartment,Malvern,379000,2,0,1,1,5,2,E11,-79.217109,43.806699,https://www.zolo.ca/toronto-real-estate/15-sewells-road/907,800-899
510000,80 Antibes Drive,1100,Condo Apt,Condo Apartment,Apartment,Westminster-Branson,379000,2,0,1,1,8,1,C07,-79.448136,43.780308,https://www.zolo.ca/toronto-real-estate/80-antibes-drive/401,1000-1199
379900,15 Sewells Road,850,Condo Apt,Condo Apartment,Apartment,Malvern,379900,2,0,1,1,5,1,E11,-79.217109,43.806699,https://www.zolo.ca/toronto-real-estate/15-sewells-road/309,800-899
380900,236 Albion Road,850,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,379900,2,0,1,1,5,1,W10,-79.543994,43.722001,https://www.zolo.ca/toronto-real-estate/236-albion-road/709,800-899
382000,3390 Weston Road,850,Condo Apt,Condo Apartment,Apartment,Humbermede,379900,2,0,1,1,6,1,W05,-79.542764,43.749102,https://www.zolo.ca/toronto-real-estate/3390-weston-road/1004,800-899
422000,914 Yonge Street,250,Condo Apt,Condo Apartment,Apartment,Annex,379900,0,0,1,1,4,0,C02,-79.38884,43.674053,https://www.zolo.ca/toronto-real-estate/914-yonge-street/1204,0-499
452000,80 Orchid Place Drive,550,Condo Townhouse,Condo Townhouse,Stacked Townhouse,Malvern,379900,1,0,1,1,4,1,E11,-79.237712,43.79288,https://www.zolo.ca/toronto-real-estate/80-orchid-place/211,500-599
370000,200 Lotherton Pathway,1100,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,379999,3,1,1,1,6,1,W04,-79.465795,43.707282,https://www.zolo.ca/toronto-real-estate/200-lotherton-pathway/1202,1000-1199
373000,10 Sunny Glenway Glwy,650,Condo Apt,Condo Apartment,Apartment,Flemingdon Park,380000,1,0,1,1,4,1,C11,-79.4163,43.70011,https://www.zolo.ca/toronto-real-estate/10-sunny-glenway/512,600-699
415000,16 Rexdale Boulevard,1100,Condo Townhouse,Condo Townhouse,Apartment,Rexdale-Kipling,380000,2,0,2,1,7,1,W10,-79.556567,43.714205,https://www.zolo.ca/toronto-real-estate/16-rexdale-boulevard/30,1000-1199
375000,200 Lotherton Parkway,750,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,384999,4,0,1,1,6,1,W04,-79.4163,43.70011,https://www.zolo.ca/toronto-real-estate/200-lotherton-parkway/104,700-799
375000,200 Lotherton Parkway,950,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,385000,3,0,1,1,6,1,W04,-79.4163,43.70011,https://www.zolo.ca/toronto-real-estate/200-lotherton-parkway/601,900-999
385000,2800 Keele Street,250,Condo Apt,Condo Apartment,Bachelor/Studio,Downsview-Roding-CFB,385000,0,0,1,1,1,1,W05,-79.482723,43.728646,https://www.zolo.ca/toronto-real-estate/2800-keele-street/605,0-499
405000,275 Yorkland Road,250,Condo Apt,Condo Apartment,Apartment,Henry Farm,385000,0,0,1,1,0,0,C15,-79.33699,43.774819,https://www.zolo.ca/toronto-real-estate/275-yorkland-road/503,0-499
450000,15 Torrance Road,850,Condo Townhouse,Condo Townhouse,Apartment,Eglinton East,388000,1,1,1,1,5,1,E08,-79.234805,43.740723,https://www.zolo.ca/toronto-real-estate/15-torrance-road/1604,800-899
453000,5800 Sheppard Avenue E,850,Condo Apt,Condo Apartment,Apartment,Malvern,388000,1,1,1,1,5,1,E11,-79.231094,43.795766,https://www.zolo.ca/toronto-real-estate/5800-sheppard-avenue-east/220,800-899
460000,161 Roehampton Avenue,250,Condo Apt,Condo Apartment,Bachelor/Studio,Mount Pleasant East,388000,0,0,1,1,3,0,C10,-79.394045,43.708821,https://www.zolo.ca/toronto-real-estate/161-roehampton-avenue/1611,0-499
490000,100 Wingarden Court,1100,Condo Apt,Condo Apartment,Apartment,Malvern,388000,2,1,2,1,6,1,E11,-79.226944,43.810909,https://www.zolo.ca/toronto-real-estate/100-wingarden-court/909,1000-1199
380000,5 Frith Road N,1100,Condo Apt,Condo Apartment,Apartment,Glenfield-Jane Heights,388800,2,0,1,1,5,1,W05,,,,1000-1199
380000,650 Queens Quay W,250,Condo Apt,Condo Apartment,Apartment,Niagara,389000,0,0,1,1,1,0,C01,-79.39893,43.635561,https://www.zolo.ca/toronto-real-estate/650-queens-quay-west/1821,0-499
385000,101 Subway Crescent,550,Condo Apt,Condo Apartment,Apartment,Islington-City Centre West,389000,1,0,1,1,5,1,W08,-79.539485,43.634842,https://www.zolo.ca/toronto-real-estate/101-subway-crescent/2108,500-599
413888,3 Hickory Tree Road,750,Condo Apt,Condo Apartment,Apartment,Weston,389000,1,1,1,1,5,1,W04,-79.514491,43.698313,https://www.zolo.ca/toronto-real-estate/3-hickory-tree-road/1806,700-799
450000,2 Ridelle Avenue,650,Condo Apt,Condo Apartment,Apartment,Forest Hill North,389000,1,0,1,1,4,1,C04,-79.427302,43.707288,https://www.zolo.ca/toronto-real-estate/2-ridelle-avenue/208,600-699
385000,380 Dixon Road,950,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,389900,2,0,1,1,6,1,W09,-79.556727,43.695162,https://www.zolo.ca/toronto-real-estate/380-dixon-road/801,900-999
388888,20 Dean Park Road,750,Condo Apt,Condo Apartment,Apartment,Rouge E11,389900,1,0,1,1,4,1,E11,-79.169322,43.802085,https://www.zolo.ca/toronto-real-estate/20-dean-park-road/207,700-799
389900,1461 Lawrence Avenue W,550,Condo Apt,Condo Apartment,Apartment,Maple Leaf,389900,1,0,1,1,3,0,W04,-79.480313,43.707879,https://www.zolo.ca/toronto-real-estate/1461-lawrence-avenue-west/1203,500-599
415000,55 Regent Park Boulevard,250,Condo Apt,Condo Apartment,Apartment,Regent Park,389900,0,0,1,1,2,0,C08,-79.361537,43.65969,https://www.zolo.ca/toronto-real-estate/55-regent-park-boulevard/2006,0-499
420000,123 Woodbine Avenue,250,Condo Apt,Condo Apartment,3-Storey,The Beaches,389900,0,0,1,1,1,1,E02,-79.305064,43.667515,https://www.zolo.ca/toronto-real-estate/123-woodbine-avenue/327,0-499
485000,7 Bishop Avenue,250,Condo Apt,Condo Apartment,Apartment,Newtonbrook East,389900,1,0,1,1,4,1,C14,-79.4143,43.781699,https://www.zolo.ca/toronto-real-estate/7-bishop-avenue/2113,0-499
387500,234 Albion Road,850,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,394900,2,0,1,1,5,1,W10,-79.544159,43.721149,https://www.zolo.ca/toronto-real-estate/234-albion-road/309,800-899
395000,3 Marine Parade Drive,750,Condo Apt,Condo Apartment,Apartment,Mimico,395000,1,1,1,1,5,1,W06,-79.476223,43.630242,https://www.zolo.ca/toronto-real-estate/3-marine-parade-drive/505,700-799
410000,40 Homewood Avenue,250,Condo Apt,Condo Apartment,Bachelor/Studio,Cabbagetown-South St. James Town,395000,0,0,1,1,3,0,C08,-79.3755,43.664209,https://www.zolo.ca/toronto-real-estate/40-homewood-avenue/905,0-499
430000,100 Dundalk Drive,950,Condo Apt,Condo Apartment,Apartment,Dorset Park,395000,2,0,1,1,5,1,E04,-79.287143,43.77027,https://www.zolo.ca/toronto-real-estate/100-dundalk-drive/410,900-999
397000,3390 Weston Road,850,Condo Apt,Condo Apartment,Apartment,Humbermede,397000,2,0,1,1,6,1,W05,-79.542764,43.749102,https://www.zolo.ca/toronto-real-estate/3390-weston-road/704,800-899
451000,370 Dixon Road,1300,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,398000,3,0,2,1,6,1,W09,-79.556139,43.695894,https://www.zolo.ca/toronto-real-estate/370-dixon-road/2115,1200-1399
391000,10 Eddystone Avenue,1300,Condo Townhouse,Condo Townhouse,3-Storey,Glenfield-Jane Heights,398888,4,0,2,1,8,1,W05,-79.515943,43.749223,https://www.zolo.ca/toronto-real-estate/10-eddystone-avenue/106,1200-1399
420000,10 Parkway Forest Drive,850,Condo Apt,Condo Apartment,Apartment,Henry Farm,398888,1,0,1,1,5,1,C15,-79.345405,43.769948,https://www.zolo.ca/toronto-real-estate/10-parkway-forest-drive/403,800-899
383000,4 Elsinore Path,250,Condo Apt,Condo Apartment,Apartment,New Toronto,399000,1,0,1,1,3,1,W06,-79.510395,43.601591,https://www.zolo.ca/toronto-real-estate/4-elsinore-path/510,0-499
390000,725 Don Mills Road,650,Condo Apt,Condo Apartment,Apartment,Flemingdon Park,399000,1,0,1,1,4,1,C11,-79.333335,43.711432,https://www.zolo.ca/toronto-real-estate/725-don-mills-road/804,600-699
399000,735 Don Mills Road,650,Condo Apt,Condo Apartment,Apartment,Flemingdon Park,399000,1,0,1,1,4,1,C11,-79.334332,43.711701,https://www.zolo.ca/toronto-real-estate/735-don-mills-road/1205,600-699
420000,3000 Bathurst Street,850,Condo Apt,Condo Apartment,Apartment,Englemount-Lawrence,399000,1,1,1,1,5,1,C04,-79.429744,43.716874,https://www.zolo.ca/toronto-real-estate/3000-bathurst-street/1205,800-899
420000,236 Albion Road,1100,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,399000,3,0,2,1,6,1,W10,-79.543994,43.722001,https://www.zolo.ca/toronto-real-estate/236-albion-road/1710,1000-1199
423000,19 Avondale Avenue N,250,Condo Apt,Condo Apartment,Bachelor/Studio,Willowdale East,399000,1,0,1,1,4,1,C14,,,,0-499
425000,236 Albion Road,1300,Condo Apt,Condo Apartment,Apartment,Elms-Old Rexdale,399000,3,0,2,1,5,1,W10,-79.543994,43.722001,https://www.zolo.ca/toronto-real-estate/236-albion-road/208,1200-1399
435000,231 Fort York Boulevard,250,Condo Apt,Condo Apartment,Apartment,Waterfront Communities C1,399000,0,0,1,1,2,0,C01,-79.406626,43.636548,https://www.zolo.ca/toronto-real-estate/231-fort-york-boulevard/1015,0-499
440000,2464 Weston Road,650,Condo Apt,Condo Apartment,Apartment,Weston,399000,1,1,1,1,5,1,W04,-79.534741,43.708059,https://www.zolo.ca/toronto-real-estate/2464-weston-road/212,600-699
440000,231 Fort York Boulevard,250,Condo Apt,Condo Apartment,Apartment,Niagara,399000,0,0,1,1,3,0,C01,-79.406626,43.636548,https://www.zolo.ca/toronto-real-estate/231-fort-york-boulevard/1510,0-499
443000,45 Silver Springs Boulevard,950,Condo Apt,Condo Apartment,Apartment,L'Amoreaux,399000,1,1,1,1,5,1,E05,-79.305238,43.800779,https://www.zolo.ca/toronto-real-estate/45-silver-springs-boulevard/1905,900-999
445000,55 Bamburgh Circle,850,Condo Apt,Condo Apartment,Apartment,Steeles,399000,1,1,1,1,4,1,E05,-79.326457,43.814671,https://www.zolo.ca/toronto-real-estate/55-bamburgh-circle/113,800-899
445000,360 Ridelle Avenue,750,Condo Apt,Condo Apartment,Apartment,Briar Hill-Belgravia,399000,1,0,1,1,4,1,W04,-79.439889,43.704836,https://www.zolo.ca/toronto-real-estate/360-ridelle-avenue/1911,700-799
450000,5225 Finch Avenue E,650,Condo Apt,Condo Apartment,Apartment,Agincourt North,399000,1,1,1,1,5,1,E07,-79.255685,43.809792,https://www.zolo.ca/toronto-real-estate/5225-finch-avenue-east/208,600-699
450000,3050 Ellesmere Road,950,Condo Apt,Condo Apartment,Apartment,Morningside,399000,1,1,2,1,5,2,E09,-79.197703,43.785951,https://www.zolo.ca/toronto-real-estate/3050-ellesmere-road/801,900-999
460000,88 Alton Towers Circle,750,Condo Apt,Condo Apartment,Apartment,Milliken,399000,1,1,1,1,5,1,E07,-79.274481,43.824796,https://www.zolo.ca/toronto-real-estate/88-alton-towers-circle/310,700-799
462000,135 Antibes Drive,650,Condo Apt,Condo Apartment,Apartment,Westminster-Branson,399000,1,0,1,1,4,1,C07,-79.44549,43.780298,https://www.zolo.ca/toronto-real-estate/135-antibes-drive/2602,600-699
